group,allocation_site,blocks,blocks_per_entry,dhat_allocated_bytes
Other preparation,slatedb::mem_table::<impl slatedb::iter::RowEntryIterator for slatedb::mem_table::ouroboros_impl_mem_table_iterator_inner::MemTableIteratorInner<slatedb::mem_table::KVTableInternalKeyRange>>::init > <alloc::boxed::Box<dyn slatedb::iter::RowEntryIterator> as slatedb::iter::RowEntryIterator>::init::{{closure}},20,0.00098,320
Other preparation,<slatedb::filter_iterator::FilterIterator<T> as slatedb::iter::RowEntryIterator>::next > <alloc::boxed::Box<dyn slatedb::iter::RowEntryIterator> as slatedb::iter::RowEntryIterator>::next::{{closure}},20,0.00098,800
Other preparation,<alloc::boxed::Box<dyn slatedb::iter::RowEntryIterator> as slatedb::iter::RowEntryIterator>::next > <slatedb::filter_iterator::FilterIterator<T> as slatedb::iter::RowEntryIterator>::next::{{closure}},20,0.00098,640
Other preparation,slatedb::mem_table::<impl slatedb::iter::RowEntryIterator for slatedb::mem_table::ouroboros_impl_mem_table_iterator_inner::MemTableIteratorInner<slatedb::mem_table::KVTableInternalKeyRange>>::next > <alloc::boxed::Box<dyn slatedb::iter::RowEntryIterator> as slatedb::iter::RowEntryIterator>::next::{{closure}},20,0.00098,320
Other preparation,tokio::sync::watch::Sender<T>::new > moraine::transaction::commit::group::Batch::open::{{closure}},20,0.00098,6880
Other preparation,<alloc::string::String as core::clone::Clone>::clone > <moraine::catalog::snapshot::CatalogSnapshot as core::clone::Clone>::clone,20,0.00098,483
Other preparation,"alloc::sync::Arc<T,A>::clone_from_ref_in > moraine::catalog::snapshot::CatalogSnapshot::put_table_stats",20,0.00098,72960
Other preparation,"alloc::sync::Arc<T,A>::clone_from_ref_in > <archery::shared_pointer::kind::arc::ArcK as archery::shared_pointer::kind::SharedPointerKind>::make_mut::{{closure}}",20,0.00098,52480
Other preparation,"alloc::sync::Arc<T,A>::clone_from_ref_in > moraine::catalog::snapshot::CatalogSnapshot::put_data_file",20,0.00098,349440
Other preparation,"<core::iter::adapters::flatten::FlatMap<I,U,F> as core::iter::traits::iterator::Iterator>::next > <alloc::vec::Vec<T> as alloc::vec::spec_from_iter::SpecFromIter<T,I>>::from_iter",20,0.00098,640
Other preparation,"alloc::collections::btree::map::entry::VacantEntry<K,V,A>::insert_entry > moraine::transaction::operations::ChangeSet::from_operations",20,0.00098,2080
Other preparation,"alloc::collections::btree::map::entry::VacantEntry<K,V,A>::insert_entry > alloc::collections::btree::map::BTreeMap<K,V,A>::insert",20,0.00098,5600
Other preparation,"<alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter > moraine::transaction::commit::refresh_keys_of",20,0.00098,960
Other preparation,moraine::transaction::commit::changelog_writes > moraine::transaction::commit::attempt_group::{{closure}},20,0.00098,1920
Other preparation,alloc::str::join_generic_copy > moraine::transaction::operations::ChangeSet::to_changes_made,20,0.00098,420
Other preparation,"tokio::runtime::task::core::Cell<T,S>::new > tokio::runtime::scheduler::multi_thread::handle::Handle::bind_new_task",20,0.00098,110080
Other preparation,<moraine::catalog::snapshot::CatalogSnapshot as core::clone::Clone>::clone > moraine::transaction::commit::attempt_group::{{closure}},1,0.00005,8
